customer_ID,plan
10012418,1011023
10019448,1123012
10147491,1113022
10019445,1143021
10019444,0011002
10012411,0033003
10019446,1133113
10012417,2033012
10012415,1111121
10011691,1143113
10093562,0033001
10093563,1133113
10011694,1133022
10148760,1112021
10011697,1013021
10011698,1133123
10093569,1033012
10097670,1143114
10006879,1013011
10097674,1143102
10139997,0033002
10097678,2013023
10006871,1043113
10059135,1111012
10059134,1133122
10006877,1133122
10072756,2122022
10022626,1033102
10022625,0122021
10022622,1033113
10072750,1133021
10072751,0022002
10139992,0011002
10019447,2022023
10022629,1133102
10022628,1122122
10122637,0011012
10122636,1033123
10122635,1112122
10111798,1133114
10014403,1133114
10111796,0011001
10019441,1123102
10111795,1013123
10111791,0011002
10110642,0033004
10125948,1133021
10050200,1123123
10125940,1033013
10125942,0033002
10125943,1033111
10112445,2033002
10093561,1033101
10065200,1143104
10112448,0022023
10005523,0033001
10005521,0033002
10066628,1133112
10005527,1013123
10005525,1111121
10134530,1133123
10005528,1143124
10111864,1111021
10111865,1033112
10111863,1012023
10130846,0033012
10003969,1133123
10003968,1133112
10136928,1133012
10018319,1122122
10003963,1011001
10003965,1043102
10003964,1133114
10003966,1143102
10010121,1133122
10010120,1143124
10010125,0122012
10010124,2022021
10138197,0011003
10138196,1112121
10023570,1133021
10129620,1033023
10023574,1123122
10080672,1133022
10023576,1123114
10028548,0011001
10028549,1033102
10033484,1033122
10059138,1133124
10125360,0111022
10028541,2011123
10028542,1113123
10125363,0011003
10098577,1132122
10125365,1133102
10028547,0043013
10120709,1133022
10045229,1133122
10063816,1112123
10080677,1143113
10120701,1033113
10063815,1143102
10120703,1013123
10063814,1033102
10113809,1111021
10086751,0011003
10069877,1113123
10086753,1122121
10135479,1033113
10086757,1033112
10113796,2011122
10096234,1033122
10113790,1013123
10113791,1133113
10074349,1133104
10059130,1132122
10074342,1133113
10074340,0012002
10128285,2043102
10128287,1133123
10079400,1143114
10068465,1122122
10068463,1123123
10068462,1133102
10068461,1122111
10017692,1113123
10069756,1043102
10020334,1013123
10078874,2133102
10078876,1133102
10078879,1143122
10078878,1133012
10017698,2022001
10113428,1133121
10090405,0023003
10020331,1123123
10113422,1133102
10031299,1043101
10113426,1111022
10072754,1133102
10113424,1033113
10069753,1033102
10049948,1133102
10126537,1111021
10069750,1143102
10152247,1043101
10057095,1123121
10149964,1033022
10082862,1133102
10149966,2023002
10049945,1033123
10049944,0011001
10049947,0011021
10049946,0012001
10003039,1132122
10003038,1143102
10090709,1023022
10127134,1133114
10150329,1133113
10083709,1143113
10131265,1133114
10132123,1123022
10132120,1133114
10083701,2133011
10014927,1123022
10014926,1133102
10014921,1033114
10014920,1033123
10087084,1013123
10014922,1033114
10045917,0033002
10045912,0111023
10045910,1133114
10069332,0011002
10074403,0111021
10037254,0022023
10037255,1023013
10037256,2012021
10069337,2133032
10069338,1013021
10069339,0022022
10089532,1013121
10124709,0043002
10124708,0013023
10122631,0011001
10081708,1133122
10081707,2013032
10081706,1143102
10124703,1033011
10124702,1133011
10081703,1033111
10124325,2013021
10081701,1122122
10124706,1033114
10124324,1011121
10111797,0022023
10118270,2122021
10118271,1133121
10118274,0122002
10150053,0013003
10034501,0032002
10117022,1143123
10084063,0033003
10034504,2013001
10034506,1143123
10034509,2111123
10084068,1033123
10124320,0111002
10089283,1132122
10089281,0122022
10130848,0022021
10089284,1133022
10126706,0033022
10089289,1033023
10126703,1113123
10126701,2111021
10079172,1133012
10117024,1013022
10077068,1143114
10105454,1022122
10077065,0122022
10105457,2143013
10105450,1123123
10077062,1112123
10150058,2013022
10118776,0022002
10079408,0111022
10107340,1033013
10140955,1011112
10107347,1033012
10035338,1122102
10103850,1133113
10079179,1133123
10103858,1133102
10047205,1033113
10047206,1133123
10066707,1133102
10047200,1133012
10012523,0011001
10019834,1122122
10061609,1112122
10019836,2111031
10019837,1133102
10019830,2033123
10039907,1033113
10019832,1033114
10019833,1033102
10120280,1133124
10120281,1111122
10120282,1043002
10039909,0013001
10019838,2033002
10120285,1111122
10091366,0033002
10120287,1033114
10085107,0122001
10078885,1133122
10026335,1113123
10036615,1033122
10026331,0013002
10036612,2033102
10036611,0022002
10112444,1033123
10025260,1033123
10036618,2033022
10101934,1113113
10059744,1113123
10101930,1133113
10132449,1143114
10048155,1033113
10077930,0033011
10077933,1011023
10106430,1033123
10048151,2033102
10077934,1133113
10077939,1143114
10077938,1123113
10048158,1133113
10140141,1143114
10004359,1143123
10004358,0033003
10076082,0012003
10076083,0022002
10104495,0013002
10076081,1043101
10004351,1122122
10004354,0022021
10103145,1033122
10108957,0011001
10075573,1123123
10103141,2033022
10075578,1122122
10141106,1111122
10099008,1133113
10039277,0022002
10039279,0011001
10099005,0111021
10143595,1133123
10027062,1022024
10027063,1133013
10027060,2033102
10027061,1133123
10020596,1133123
10020595,1133122
10100047,1143113
10025517,2012002
10025510,1133114
10025512,0011003
10020598,0011002
10109012,0111021
10099003,0013002
10109016,1133022
10109017,1013012
10109019,1033121
10134469,1013122
10134468,1033102
10049201,0022001
10134464,2043102
10134467,1133022
10134460,1123102
10134463,1033102
10134462,0011002
10032612,1033111
10032611,1033102
10032610,1133113
10108941,2012032
10108940,2113113
10032614,1113123
10074628,1133022
10074620,1111122
10074625,1122121
10074626,1033112
10030619,1133113
10055934,1023124
10055936,0013022
10055933,1122123
10030611,1011121
10146440,2013123
10030616,0012021
10071052,2033031
10071053,1043112
10012400,0033012
10091368,1133022
10102434,0033021
10120370,1133122
10102430,1111021
10142560,0133001
10142562,2043022
10142564,1033114
10142567,2033112
10142569,1122123
10054083,1143104
10145688,2113102
10018314,1043113
10003086,1133122
10080102,1043102
10003087,0133002
10018312,1133122
10032281,1133113
10054084,1111122
10135736,0022012
10010385,1133123
10135733,1143113
10135730,1033112
10020042,1133124
10152147,1033113
10068148,1043114
10068149,1111121
10141140,1013123
10147881,1033112
10137336,1033102
10141145,1133122
10068141,0033002
10068143,1123102
10068144,1143102
10068146,1111122
10068147,0033002
10110229,1132122
10024747,1033102
10108055,0122002
10108052,2033112
10024740,1013021
10024741,1011101
10110222,1122122
10110227,1122122
10101160,1133102
10101161,1043123
10101162,1011101
10101163,0143002
10101164,1033102
10101172,1133124
10106399,1133113
10106396,2033112
10138739,1132122
10106394,1123123
10106395,1133122
10106392,0033011
10106393,2023102
10106390,1012023
10106391,1023023
10099857,1033023
10099852,1122122
10099853,1013023
10116977,1022121
10065674,1133122
10065677,1013022
10065676,1013023
10139929,1033102
10065673,1123123
10144661,1133102
10138736,0011032
10051898,1143114
10048095,1133124
10051896,1133112
10138731,1133121
10138730,2143021
10070015,1133113
10048097,1033112
10005312,1012023
10070011,1013102
10085309,1133102
10138732,1133111
10070019,1013123
10070018,2112011
10150465,0033022
10150460,1143104
10150469,2033022
10066098,1111021
10066099,1123102
10061124,1122122
10066094,1143124
10151591,1013123
10051765,1123022
10140231,1133113
10140230,1133012
10027800,1033122
10015527,1143113
10027803,1122122
10026506,2022032
10015528,1133113
10015529,1143122
10129624,1133012
10057397,1033112
10119138,1013102
10114500,1143102
10057390,0012001
10057399,1033124
10057398,0011001
10141994,1133012
10141997,0011022
10066329,1013023
10066324,2033002
10141996,0011023
10066321,1113123
10122911,1023023
